amfi_code,scheme_name,fund_house,category,cagr_3yr,sharpe_ratio,alpha_pct,expense_ratio_pct,max_drawdown_pct,fund_score
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,3.9154793546847033,-1.0399413574427758,4.281792031506088,0.56,-4.308263824636349,91.5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,4.061259859840338,-0.8505789759662294,5.074772999976104,0.55,-8.316361763638703,88.5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.694394239074852,-4.000348969233409,6.4556774953759986,0.6,-0.11629327956168556,86.875
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,6.314299292105274,-4.650400707150914,6.086145795787115,0.79,-0.16224980244717857,85.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,5.838988442093762,-0.7430986305648412,5.620895216638369,0.77,-4.328728923970093,83.875
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.392538786263403,-3.6501838785684795,6.746210411099539,0.74,-0.09773140045925555,83.75
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,-1.337083602283895,-0.13617811182970377,4.882421594553985,0.72,-52.57422117012851,79.4375
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-11.703299329834216,-0.15165815861644155,4.801595363775955,1.38,-51.677753708526566,78.0
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-0.7672319440258146,-0.2948889128510891,2.8969397866379443,1.51,-28.00112356639287,76.0625
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.2923525892154508,-0.3210192604995431,3.747580763443281,1.55,-24.734440880673304,72.125
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,0.5257668501786883,-0.13100916883965188,6.899529821677549,1.64,-14.401617909337261,67.8125
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-4.151453816140693,0.052618136475855025,10.897091901704538,1.53,-35.44691649336603,65.0625
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,11.242518737374208,0.13479784106103954,11.98910097121797,0.78,-21.11727956013212,63.375
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,7.75416750547262,-0.058166811414922526,7.80443887615508,1.56,-24.003511326274886,58.625
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,20.8115598266319,-0.04707325681075911,8.232801295222094,0.75,-21.751396370148225,58.375
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,20.00321571698329,0.39318819691240553,15.136354648239239,0.89,-11.650624505409091,55.0
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,16.263375081360643,0.6482414723266906,19.86859936686296,0.66,-11.803493502764296,54.875
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,18.03973982038829,0.2396633677728517,13.173190226099432,1.54,-14.844576917771747,53.5625
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,13.974980348212673,0.5165503915082101,17.703302365844074,1.42,-13.897862823061635,52.5
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,21.084691029380597,0.3888288460001742,15.643835948169668,0.72,-18.62974313859551,52.4375
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,8.0060298597036,0.29234325101099307,17.50072167561127,1.53,-23.34488614483311,50.5625
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,17.263014444437943,0.25511741256223125,13.042924450705446,1.59,-17.57361416468729,50.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,18.429918008610045,0.5062729716095955,17.729754927531765,0.92,-15.200013055606398,49.375
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,18.417429266835228,0.40461547832920475,16.25385327998104,1.41,-19.82565826298267,48.625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.744434832760533,0.6406730942266642,20.873010086942337,1.52,-15.27259422823477,45.3125
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,19.662361245910965,0.5197971450361778,17.048756803412697,1.57,-10.85986215250232,44.125
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,25.549670172502026,0.3846373345033844,16.211256794033254,1.64,-21.539827112383225,37.3125
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,32.478927222623,0.7146822636441237,21.19482701352573,0.8,-12.588275606922517,33.75
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,22.646647456747715,0.7588510310771438,21.829397904608644,1.51,-17.41407508665723,31.6875
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,28.960211096593724,0.717408995989017,21.399784776051213,1.6,-11.291596329323072,28.6875
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,26.66309129954312,0.7116901743847246,30.336965386983323,1.43,-28.706005721764548,26.375
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,32.43397122906222,0.8082678003905593,27.19535450128533,1.38,-16.217208574644847,24.625
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,29.57511058901836,0.965560651744012,27.330465038306055,1.45,-12.97396816518679,23.125
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,35.10252788903541,0.7305467735561727,26.07666908004223,1.38,-20.960883862039193,23.125
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,30.448613060027817,0.8609773262277756,23.201007160635083,1.54,-15.012385498645331,22.5625
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,26.99350260734621,0.7144216579881013,30.05787817097677,1.52,-31.171900300634213,22.4375
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,26.863103668817146,0.8328852279505965,26.598577542043046,1.61,-17.24810575345138,21.875
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,31.769242852237323,0.8832556184698839,29.26358334175106,1.36,-18.188513572116292,21.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,33.991970400445304,1.0682238272314732,26.98375144191807,1.46,-11.265729075028275,20.625
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,29.17135767741186,0.9190465356358282,28.27036785246582,1.6,-16.39674294693263,16.5625
